Rank,Name,Total_net_worth,Last_change,YTD_change,Country,Industry
170,Goh Cheng Liang,7900000000.0,96100000.0,1500000.0,Singapore,Industrial
171,Xavier Niel,7850000000.0,-108000000.0,1130000.0,France,Technology
172,Eduardo Saverin,7750000000.0,65400000.00000001,1490000.0,Brazil,Technology
173,Roberto Marinho,7640000000.0,25000000.0,1130000.0,Brazil,Media & Telecom
174,Joao Marinho,7640000000.0,25000000.0,1130000.0,Brazil,Media & Telecom
175,Ludwig Merckle,7620000000.0,39300000.0,268000000.0,Germany,Industrial
176,John Paulson,7620000000.0,+79600,-6110000.0,United States,Finance
177,David Geffen,7550000000.0,1940000.0,463000000.0,United States,Entertainment
178,Jose Marinho,7550000000.0,25000000.0,+190000000,Brazil,Media & Telecom
179,Victor Rashnikov,7540000000.0,-47200000.0,1150000.0,Russian,Industrial
180,Silvio Berlusconi,7530000000.0,-15400000.0,184000000.0,Italy,Media & Telecom
181,Eli Broad,7530000000.0,0,25000000.0,United States,Diversified
182,Gianluigi Aponte,7470000000.0,-62200000.0,572000000.0,Switzerland,Services
183,Richard Kinder,7470000000.0,9840000.0,263000000.0,United States,Energy
184,Wang Wenyin,7380000000.0,128000000.0,999000000.0,China,Commodities
185,Richard Liu,7360000000.0,2250000.0,1380000.0,China,Technology
186,Pierre Omidyar,7340000000.0,9150000.0,462000000.0,United States,Technology
187,Zong Qinghou,7330000000.0,1510000.0,51600000.0,China,Food & Beverage
188,Abby Johnson,7320000000.0,-60400000.0,-45400000.0,United States,Finance
189,Sandra Ortega Mera,7290000000.0,-17000000.0,198000000.0,Spain,Retail
190,Dietmar Hopp,7280000000.0,-16500000.0,782000000.0,Germany,Technology
191,Harry Triguboff,7280000000.0,76000000.0,-212000000.0,Australia,Real Estate
192,Johann Rupert,7230000000.0,23500000.0,793000000.0,South Africa,Diversified
193,Sergey Galitskiy,7220000000.0,-118000000.0,-405000000.0,Russian,Retail
194,James Dyson,7220000000.0,-39700000.0,2560000.0,United Kingdom,Consumer
195,Theo Albrecht Jr,7210000000.0,20900000.0,-99900000.0,Germany,Retail
196,Richard LeFrak,7200000000.0,+292000,86900000.0,United States,Real Estate
197,Oleg Deripaska,7200000000.0,22000000.0,1080000.0,Russian,Commodities
198,Gordon Moore,7190000000.0,-25300000.0,-76300000.0,United States,Technology
199,Joseph Tsai,7130000000.0,103000000.0,1410000.0,Canada,Technology
200,Sherry Brydson,7120000000.0,-25700000.0,-53100000.0,Canada,Media & Telecom
201,Johann Graf,7040000000.0,-2110000.0,77100000.0,Austria,Entertainment
202,Bernie Marcus,7030000000.0,4780000.0,624000000.0,United States,Retail
203,Emmanuel Besnier,7000000000.0,-117000000.0,-274000000.0,France,Food & Beverage
204,Eka Widjaja,6990000000.0,38900000.0,176000000.0,Indonesia,Diversified
205,Alexey Kuzmichev,6980000000.0,30800000.0,133000000.0,Russian,Diversified
206,Charles Gerald John Cadogan,6930000000.0,0,0,United Kingdom,Real Estate
207,Stan Kroenke,6920000000.0,-1220000.0,-156000000.0,United States,Real Estate
208,Frederik Paulsen,6900000000.0,45100000.0,691000000.0,Sweden,Health Care
209,Graeme Hart,6840000000.0,130000000.0,375000000.0,New Zealand,Finance
210,Wee Cho Yaw,6810000000.0,54300000.0,888000000.0,Singapore,Finance
